motif_idx,pearson_diffusion,mse_diffusion,pearson_transformer,mse_transformer,pearson_diff,mse_diff
222,0.5181039,0.00073462026,0.079339385,0.0014507498,0.4387645,0.00071612955
223,0.45848453,0.0017407794,0.16265078,0.0031397168,0.29583377,0.0013989374
224,0.5356437,0.004194024,0.13542698,0.00897344,0.4002167,0.004779416
225,0.49262553,0.0027504594,0.15840335,0.003856997,0.3342222,0.0011065376
226,0.59680176,0.0017808313,0.1975481,0.002791017,0.39925367,0.0010101858
227,0.4892308,6.342472e-05,0.15705436,9.926962e-05,0.33217645,3.5844903e-05
228,0.3952178,0.0031649915,0.044486918,0.005520807,0.3507309,0.0023558156
229,0.4136804,0.00079803664,0.11935599,0.0015405654,0.2943244,0.00074252876
230,0.48084736,0.0010483746,0.105553664,0.001970008,0.3752937,0.00092163344
231,0.27201325,0.00049927837,-0.0019936834,0.00096289173,0.27400693,0.00046361337
232,0.40222776,2.5582302e-05,0.04042899,5.7346293e-05,0.36179876,3.1763993e-05
233,0.7008791,0.0011814486,0.17094436,0.0021312132,0.52993476,0.0009497646
234,0.20336568,0.00010547828,0.046368983,0.0001705473,0.1569967,6.506902e-05
235,0.19688731,0.00034328926,0.035233516,0.0006955611,0.1616538,0.00035227186
236,0.20422037,0.00019862992,0.0093312925,0.00041693938,0.19488908,0.00021830946
237,0.1918719,0.0005688476,0.0246776,0.0010856466,0.16719429,0.000516799
238,0.47955805,0.0024413483,0.031879373,0.0052373246,0.4476787,0.0027959764
239,0.41121686,0.00043176828,0.045474995,0.0008486011,0.36574185,0.00041683283
240,0.45553988,0.0019012905,0.06431999,0.004208189,0.39121988,0.0023068986
241,0.34335643,0.0006619981,0.026188564,0.0012382292,0.31716788,0.0005762311
242,0.2995271,0.000118932105,0.029848121,0.0002543059,0.26967898,0.00013537379
243,0.30792123,0.0018793016,0.02773921,0.0038516496,0.28018203,0.001972348
244,0.51496387,6.670025e-05,0.16885565,0.00013113563,0.3461082,6.443538e-05
245,0.5547779,3.9084745e-05,0.15854439,7.214083e-05,0.39623353,3.3056083e-05
246,0.40348554,0.0016832852,0.08857464,0.003575092,0.3149109,0.0018918067
247,0.46149164,1.4139384e-05,0.12963416,2.2138334e-05,0.3318575,7.99895e-06
248,0.5608391,0.0026158027,0.18030043,0.0040759,0.3805387,0.0014600975
249,0.6194874,0.00086385646,0.2002278,0.0013984903,0.4192596,0.0005346338
250,0.52330077,2.1898242e-05,0.021529991,4.542308e-05,0.5017708,2.3524837e-05
251,0.33756384,0.0008031765,0.045449484,0.0017452007,0.29211435,0.0009420242
252,0.29946715,6.051187e-05,0.044906497,0.0001171153,0.25456065,5.660343e-05
253,0.34634507,0.002842748,0.09115146,0.0070924056,0.2551936,0.0042496575
254,0.4698805,0.0010594478,0.05788004,0.0019740728,0.41200045,0.000914625
255,0.15674274,6.402153e-05,0.019020911,0.00010001002,0.13772182,3.5988487e-05
256,0.44886953,0.0008249799,0.030204445,0.0015527249,0.41866508,0.00072774495
257,0.4048506,0.00044876995,0.11126925,0.0008783305,0.29358137,0.00042956055
258,0.39138043,0.0016292231,0.032653086,0.0033470236,0.35872734,0.0017178005
259,0.16783334,0.00039302232,0.045004964,0.0011161091,0.12282838,0.00072308676
260,0.35361722,0.00050599384,0.08312456,0.0010441855,0.27049267,0.00053819164
261,0.52282727,6.472846e-05,0.13723859,0.000118468815,0.38558868,5.3740354e-05
262,0.13438915,0.00052195543,0.0061629256,0.0009786576,0.12822622,0.0004567022
263,0.48519242,0.0007173416,0.1047287,0.0013832732,0.38046372,0.00066593155
264,0.45135492,0.001256874,0.08041365,0.0025528374,0.37094128,0.0012959634
265,0.4987864,0.0004285389,0.071039736,0.000918522,0.42774665,0.0004899831
266,0.41066563,0.0012918692,0.096136436,0.0021804043,0.31452918,0.00088853505
267,0.41343307,0.0025441477,0.10277167,0.0048166877,0.3106614,0.00227254
268,0.5784849,0.0026887697,0.16670321,0.004578182,0.41178167,0.0018894123
269,0.5012151,0.0019321301,0.1544869,0.0026250188,0.3467282,0.00069288875
270,0.40309572,0.0016915838,0.08272593,0.002204452,0.32036978,0.00051286817
271,0.23861785,0.0016782724,0.042449642,0.0034491625,0.19616821,0.0017708901
272,0.2181549,0.0006363014,0.07097646,0.0012898908,0.14717844,0.00065358944
273,0.53162307,0.00037472646,0.1463947,0.00063299015,0.38522837,0.0002582637
274,0.366943,0.0028188394,0.019593725,0.0055423407,0.3473493,0.0027235013
275,0.4592378,0.00055205985,0.122984916,0.0010726963,0.3362529,0.00052063644
276,0.16039866,0.0013706499,0.03776834,0.0025272183,0.12263032,0.0011565684
277,0.53037405,0.00059797266,0.12847029,0.0010902939,0.40190375,0.0004923212
278,0.29143432,0.0005983733,0.020037528,0.0012270726,0.2713968,0.00062869926
279,0.35660213,0.00011100095,0.04861727,0.00021583043,0.30798486,0.00010482948
280,0.5541986,0.0014843157,0.15888488,0.0024800193,0.39531374,0.0009957036
281,0.2230097,0.0006734387,0.030861508,0.0012423703,0.1921482,0.00056893163
282,0.9999878,5.989058e-07,,6.801504e-05,,6.7416135e-05
